002B,+,Plus sign,Arithmetic
2212,−,Minus sign,Arithmetic
00B1,±,Plus-minus sign,Arithmetic
2213,∓,Minus-or-plus sign,Arithmetic
00F7,÷,Division sign,Arithmetic
2217,∗,Asterisk operator,Arithmetic
2219,∙,Bullet operator,Arithmetic
00D7,×,Multiplication sign,Arithmetic
2211,∑,N-ary summation,Arithmetic
2A0A,⨊,Modulo two sum,Arithmetic
2140,⅀,Double-struck n-ary summation,Arithmetic
220F,∏,N-ary product,Arithmetic
2210,∐,N-ary coproduct,Arithmetic
2214,∔,Dot plus,Arithmetic
2238,∸,Dot minus,Arithmetic
2242,≂,Minus tilde,Arithmetic
2295,⊕,Circled plus,Arithmetic
2296,⊖,Circled minus,Arithmetic
2297,⊗,Circled times,Arithmetic
2298,⊘,Circled division slash,Arithmetic
2299,⊙,Circled dot operator,Arithmetic
229A,⊚,Circled ring operator,Arithmetic
229B,⊛,Circled asterisk operator,Arithmetic
229D,⊝,Circled dash,Arithmetic
229E,⊞,Squared plus,Arithmetic
229F,⊟,Squared minus,Arithmetic
22A0,⊠,Squared times,Arithmetic
22A1,⊡,Squared dot operator,Arithmetic
22C4,⋄,Diamond operator,Arithmetic
22C7,⋇,Division times,Arithmetic
22C6,⋆,Star operator,Arithmetic
22CB,⋋,Left semidirect product,Arithmetic
22CC,⋌,Right semidirect product,Arithmetic
007E,~,Tilde,Arithmetic
2A71,⩱,Equals sign above plus sign,Arithmetic
2A72,⩲,Plus sign above equals sign,Arithmetic
0394,Δ,Greek capital letter delta,Arithmetic
2200,∀,For all,Various
221E,∞,Infinity,Various
2203,∃,There exists,Various
2204,∄,There does not exist,Various
007C,|,Vertical line,Various
2224,∤,Does not divide,Various
2031,‱,Per ten thousand sign,Various
2207,∇,Nabla,Various
2218,∘,Ring operator,Various
223B,∻,Homothetic,Various
223D,∽,Reversed tilde,Various
223E,∾,Inverted lazy s,Various
223F,∿,Sine wave,Various
2240,≀,Wreath product,Various
2241,≁,Not tilde,Various
226C,≬,Between,Various
228F,⊏,Square image of,Various
2290,⊐,Square original of,Various
2291,⊑,Square image of or equal to,Various
2292,⊒,Square original of or equal to,Various
22E2,⋢,For all,Various
22E3,⋣,Not square original of or equal to,Various
2293,⊓,Square cap,Various
2294,⊔,Square cup,Various
22B6,⊶,Original of,Various
22B7,⊷,Image of,Various
22B8,⊸,Multimap,Various
22B9,⊹,Hermitian conjugate matrix,Various
22BA,⊺,Intercalate,Various
22C8,⋈,Bowtie,Various
22C9,⋉,Left normal factor semidirect product,Various
22CA,⋊,Right normal factor semidirect product,Various
22EE,⋮,Vertical ellipsis,Various
22EF,⋯,Midline horizontal ellipsis,Various
22F0,⋰,Up right diagonal ellipsis,Various
22F1,⋱,Down right diagonal ellipsis,Various
2308,⌈,Left ceiling,Various
2309,⌉,Right ceiling,Various
230A,⌊,Left floor,Various
230B,⌋,Right floor,Various
2329,〈,Left-pointing angle bracket,Various
232A,〉,Right-pointing angle bracket,Various
22B2,⊲,Normal subgroup of,Various
22B3,⊳,Contains as normal subgroup,Various
22B4,⊴,Normal subgroup of or equal to,Various
22B5,⊵,Contains as normal subgroup or equal to,Various
22EA,⋪,Not normal subgroup of,Various
22EB,⋫,Does not contain as normal subgroup,Various
22EC,⋬,Not normal subgroup of or equal to,Various
22ED,⋭,Does not contain as normal subgroup or equal,Various
2260,≠,Not equal to,Equality
2248,≈,Almost equal to,Equality
2242,≂,Minus tilde,Equality
2243,≃,Asymptotically equal to,Equality
2244,≄,Not asymptotically equal to,Equality
22CD,⋍,Reversed tilde equals,Equality
2245,≅,Approximately equal to,Equality
2246,≆,Approximately but not actually equal to,Equality
2247,≇,Neither approximately nor actually equal to,Equality
2249,≉,Not almost equal to,Equality
224A,≊,Almost equal or equal to,Equality
224B,≋,Triple tilde,Equality
224C,≌,All equal to,Equality
224D,≍,Equivalent to,Equality
224E,≎,Geometrically equivalent to,Equality
224F,≏,Difference between,Equality
2250,≐,Approaches the limit,Equality
2251,≑,Geometrically equal to,Equality
2252,≒,Approximately equal to or the image of,Equality
2253,≓,Image of or approximately equal to,Equality
2254,≔,Colon equals,Equality
2255,≕,Equals colon,Equality
2256,≖,Ring in equal to,Equality
2257,≗,Ring equal to,Equality
2259,≙,Estimates,Equality
225A,≚,Equiangular to,Equality
225C,≜,Delta equal to,Equality
225F,≟,Questioned equal to,Equality
2261,≡,Identical to,Equality
2262,≢,Not identical to,Equality
226D,≭,Not equivalent to,Equality
22D5,⋕,Equal and parallel to,Equality
005E,^,Circumflex accent,Degrees and roots
2070,⁰,Superscript zero,Degrees and roots
00B9,¹,Superscript one,Degrees and roots
00B2,²,Superscript two,Degrees and roots
00B3,³,Superscript three,Degrees and roots
2074,⁴,Superscript four,Degrees and roots
2075,⁵,Superscript five,Degrees and roots
2076,⁶,Superscript six,Degrees and roots
2077,⁷,Superscript seven,Degrees and roots
2078,⁸,Superscript eight,Degrees and roots
2079,⁹,Superscript nine,Degrees and roots
